x y z
"1" 711000.36 5093988.5 466.08
"21" 711032.11 5093990.09 467.28
"41" 711048 5093987.85 468.81
"61" 711058.68 5093972.81 469.08
"81" 711063.8 5093998.15 469.37
"101" 711071.21 5093982.81 469.09
"121" 711083.45 5093949.12 465.33
"141" 711089.55 5093963.35 466.84
"161" 711089.69 5093995.35 466.74
"181" 711100.79 5093946.28 465.51
"201" 711103.48 5093995.67 467.8
"221" 711111.31 5093963.29 466.77
"241" 711121.28 5093940.04 465.65
"261" 711129.77 5093953.3 467.04
"281" 711138.32 5093989.93 468.25
"301" 711150.73 5093960.23 465.77
"321" 711159.71 5093956.4 465.57
"341" 711177.81 5093976.79 467.36
"361" 711207.57 5093969.62 466.34
"381" 711230.46 5093960.36 465.61
"401" 711235.36 5093976.23 465.24
"421" 711237.08 5093984.14 465.24
"441" 711241.52 5093985.37 465.62
"461" 711244.06 5093999.85 466.65
"481" 711271.63 5093902.02 464.29
"501" 711270.09 5093961.78 465.29
"521" 711279.02 5093948.01 464.79
"541" 711288.37 5093951.25 463.87
"561" 711293.84 5093975.79 465.18
"581" 711315.11 5093871.86 463.78
"601" 711318.27 5093910.98 463.98
"621" 711315.93 5093966.07 464.68
"641" 711325.81 5093939.31 463.52
"661" 711331.68 5093929.1 463.82
"681" 711337.5 5093923.9 464.01
"701" 711345.84 5093909.76 463.43
"721" 711349.89 5093917.89 465.15
"741" 711365.05 5093864.46 464.04
"761" 711357.28 5093985.58 464.64
"781" 711361.11 5093977.66 464.46
"801" 711365.42 5093972.2 463.87
"821" 711373.63 5093957.59 463.89
"841" 711373.06 5093989.56 464.44
"861" 711384.06 5093952.36 464.83
"881" 711387.34 5093982.41 463.89
"901" 711392.26 5093984.27 464.71
"921" 711424.02 5093945.51 464.7
"941" 711436.18 5093980.89 464.59
"961" 711468.15 5093961.68 463.63
"981" 711480.03 5093974.84 464.01
"1001" 711484.35 5093988.2 464.01
"1021" 711493.77 5093995.65 464.31
"1041" 711601.57 5093998.08 465.61
"1061" 711611.44 5093994.69 465.72
"1081" 711621.15 5093973.48 466.07
"1101" 711628.15 5093996.73 465.89
"1121" 711632.22 5093998.16 466.73
"1141" 711649.49 5093922.11 463.88
"1161" 711654.63 5093947.13 463.7
"1181" 711663.97 5093923.81 463.8
"1201" 711670.99 5093996.52 466.56
"1221" 711677.53 5093990.18 464.77
"1241" 711690.8 5093957.82 464.16
"1261" 711696.8 5093977.4 464.56
"1281" 711704.41 5093962.51 464.14
"1301" 711716.92 5093942.19 464.31
"1321" 711720.33 5093988.5 464.43
"1341" 711725.98 5093993.69 464.35
"1361" 711731.9 5093946.08 464.4
"1381" 711736.47 5093985.43 465.31
"1401" 711743.88 5093988.21 466.71
"1421" 711747.54 5093989.03 466.35
"1441" 711751.42 5093929.4 465.29
"1461" 711751.08 5093991.27 466.64
"1481" 711751.57 5093985.1 466.28
"1501" 711754.86 5093933.72 465.52
"1521" 711753.48 5093983.05 466.32
"1541" 711756.46 5093940.24 465.64
"1561" 711757.38 5093966.93 466.28
"1581" 711758.07 5093950.26 465.95
"1601" 711759.1 5093964.7 466.41
"1621" 711759.77 5093945.6 466.13
"1641" 711759.11 5093969.73 466.75
"1661" 711761.14 5093963.65 466.79
"1681" 711769.62 5093973.51 468.65
"1701" 711777.5 5093976.68 469.14
"1721" 711787.47 5093989.02 469.23
"1741" 711789.61 5093990.1 469.2
"1761" 711798.9 5093997.93 469.29
"1781" 711817.97 5093994.26 469.7
"1801" 711829.57 5093961.97 471.09
"1821" 711876.63 5093996.37 469.51
"1841" 711885.35 5093961.34 471.68
"1861" 711895.29 5093999.47 469.93
"1881" 711904.75 5093962.92 468.97
"1901" 711907.32 5093946.38 469.01
"1921" 711918.93 5093979.78 469.45
"1941" 711921.87 5093977.79 469.42
"1961" 711925.5 5093947.21 467.41
"1981" 711928.43 5093948.7 468.25
"2001" 711931.76 5093947.37 468.12
"2021" 711939.58 5093998.37 471.04
"2041" 711944 5093990.86 470.89
"2061" 711952.43 5093962.99 468.51
"2081" 711956.35 5093993.95 470.33
"2101" 711958.97 5093992.72 470.26
"2121" 711960.78 5093994.74 470.41
"2141" 711961.87 5093995.03 470.44
"2161" 711962.01 5093990.76 470.18
"2181" 711963.27 5093987.75 470.01
"2201" 711999.94 5093782.09 469.43
"2221" 711999.56 5093779.62 469.61
"2241" 711996.62 5093741.66 469.58
"2261" 711999.1 5093875.47 468.94
"2281" 711998.01 5093875.63 469.31
"2301" 711994.98 5093766.09 469.83
"2321" 711998.66 5093928.43 471.28
"2341" 711998.83 5093974.06 470.64
"2361" 711997.52 5093921.44 471.31
"2381" 711992.36 5093740.33 469.16
"2401" 711996.74 5093916.6 471.38
"2421" 711997.27 5093940.03 471.28
"2441" 711996.01 5093924.17 471.35
"2461" 711991.83 5093780.16 469.78
"2481" 711991.84 5093790.5 470.17
"2501" 711995.12 5093918.99 471.36
"2521" 711996.41 5093971.72 471.19
"2541" 711994.43 5093924.22 471.34
"2561" 711990.62 5093795.86 469.97
"2581" 711989.81 5093776.37 469.65
"2601" 711993.6 5093916.61 471.33
"2621" 711995.01 5093974 470.62
"2641" 711993.28 5093937.15 471.26
"2661" 711992.6 5093913.87 471.29
"2681" 711988.94 5093796.03 469.9
"2701" 711987.03 5093738.95 469.25
"2721" 711989.73 5093830.65 471.83
"2741" 711991.85 5093912.8 471.28
"2761" 711992.47 5093936.22 471.26
"2781" 711991.61 5093938.28 471.25
"2801" 711990.89 5093915 471.36
"2821" 711986.46 5093777.78 469.53
"2841" 711986.09 5093774.64 469.52
"2861" 711989.8 5093903 471.08
"2881" 711990.51 5093927.55 471.37
"2901" 711990.02 5093938.18 471.23
"2921" 711989.05 5093907.76 471.2
"2941" 711985.17 5093790.82 469.49
"2961" 711983.73 5093747.22 469.03
"2981" 711984.27 5093769.42 469.45
"3001" 711985.17 5093799.69 469.77
"3021" 711988.5 5093909.49 471.25
"3041" 711989.47 5093974.1 470.47
"3061" 711987.15 5093901.63 471.06
"3081" 711984.35 5093820.36 470.04
"3101" 711982.91 5093778.52 469.5
"3121" 711981.29 5093731.34 468.98
"3141" 711982.23 5093764.2 469.46
"3161" 711983.08 5093792.09 469.61
"3181" 711986.03 5093886.81 470.87
"3201" 711987.34 5093928.79 471.44
"3221" 711986.61 5093930.4 471.41
"3241" 711985.14 5093888.39 470.9
"3261" 711982.35 5093809.28 469.61
"3281" 711981.09 5093772.1 469.54
"3301" 711980.86 5093771.73 469.55
"3321" 711981.76 5093800.81 469.55
"3341" 711982.68 5093828.43 470.19
"3361" 711985.69 5093921.2 471.69
"3381" 711986.52 5093974.32 470.55
"3401" 711983.79 5093893.73 471.04
"3421" 711982.64 5093860.8 470.95
"3441" 711981.13 5093820.5 469.91
"3461" 711980.1 5093791.85 469.56
"3481" 711977.57 5093722.96 468.91
"3501" 711979.99 5093797.54 469.55
"3521" 711981.01 5093827.41 470.11
"3541" 711982.38 5093867.56 470.98
"3561" 711984.1 5093919.11 471.71
"3581" 711986.46 5093993.86 471.34
"3601" 711983.53 5093928.27 471.44
"3621" 711981.51 5093873.2 470.94
"3641" 711980.63 5093849.58 470.6
"3661" 711979.59 5093822.27 470.04
"3681" 711976.14 5093729.61 468.79
"3701" 711978.13 5093790.71 469.54
"3721" 711979.86 5093840.85 470.45
"3741" 711980.7 5093864.34 470.98
"3761" 711981.49 5093888.01 471.12
"3781" 711984.27 5093973.19 470.89
"3801" 711982.06 5093927.43 471.56
"3821" 711980.01 5093872.51 471
"3841" 711979.11 5093848.88 470.67
"3861" 711976.78 5093788.18 469.5
"3881" 711976.26 5093780.55 469.44
"3901" 711978.59 5093845.76 470.58
"3921" 711979.41 5093869.21 471
"3941" 711981.65 5093934.81 471.33
"3961" 711980.39 5093926.71 471.54
"3981" 711977.6 5093854.06 470.86
"4001" 711972.11 5093716.05 468.17
"4021" 711976.74 5093843.35 470.49
"4041" 711979.76 5093926.74 471.55
